state,sector,total_foodgrain_per_capita,pulses_per_capita
A & N Islands,Rural,7.812395499999999,1.032308
A & N Islands,Total,6.849666099999999,0.8922671
A & N Islands,Urban,6.528522000000001,0.8453265
Andhra Pradesh,Rural,9.9432265,0.690865
Andhra Pradesh,Total,9.5787185,0.706499
Andhra Pradesh,Urban,9.2126385,0.7612646
Arunachal Pradesh,Rural,9.1052904,1.322605
Arunachal Pradesh,Total,8.8280468,1.323051
Arunachal Pradesh,Urban,8.340315799999999,1.326945
Assam,Rural,7.451462,0.88053
Assam,Total,7.3622084999999995,0.8792562
Assam,Urban,7.2339844,0.876943
Bihar,Rural,6.136029199999999,0.8729047
Bihar,Total,5.5915541,1.084711
Bihar,Urban,5.5700916000000005,1.093032
Chandigarh,Rural,6.340002,0.8103771
Chandigarh,Total,6.034542,0.819234
Chandigarh,Urban,5.6777410999999995,0.8296558
Chhattisgarh,Rural,8.8079108,1.10511
Chhattisgarh,Total,8.5868955,1.108671
Chhattisgarh,Urban,7.9000765,1.122179
Dadra Nagar Haveli and Daman & Diu,Rural,7.502514699999999,0.9446638
Dadra Nagar Haveli and Daman & Diu,Total,7.1804394,0.9550011
Dadra Nagar Haveli and Daman & Diu,Urban,6.883078199999999,0.9674011
Delhi,Rural,8.1559486,0.6356125
Delhi,Total,7.7737194,0.6921586
Delhi,Urban,7.1544185,0.7902827
Goa,Rural,5.5235391,0.966031
Goa,Total,5.8821908,0.8685583
Goa,Urban,5.8889968,0.8667499
Gujarat,Rural,10.3154964,0.4574615
Gujarat,Total,9.271809900000001,0.4795593
Gujarat,Urban,9.2764969,0.5472931
Haryana,Rural,9.2144336,0.7578757
Haryana,Total,8.9447017,0.7580649
Haryana,Urban,7.8900347,0.7588142
Himachal Pradesh,Rural,10.5849014,0.8096378
Himachal Pradesh,Total,10.522415200000001,0.8151885
Himachal Pradesh,Urban,10.0481022,0.8804318
Jammu &  Kashmir,Rural,6.4690361,0.9171283
Jammu &  Kashmir,Total,6.6120733,1.009416
Jammu &  Kashmir,Urban,6.6736275,1.056291
Jharkhand,Rural,7.363445400000001,0.6835582
Jharkhand,Total,7.2365855,0.730796
Jharkhand,Urban,6.9145261,0.8563393
Karnataka,Rural,9.6420184,0.4442588
Karnataka,Total,9.7517393,0.4916404
Karnataka,Urban,10.2736942,0.6984426
Kerala,Rural,9.6449511,0.352493
Kerala,Total,9.572571799999999,0.3745126
Kerala,Urban,9.3956497,0.435352
Ladakh,Rural,7.547037199999999,1.096681
Ladakh,Total,7.6977646,1.107717
Ladakh,Urban,7.9258646,1.124829
Lakshadweep,Rural,9.7417119,0.615419
Lakshadweep,Total,9.029739000000001,0.6810778
Lakshadweep,Urban,8.3557741,0.7628478
Madhya Pradesh,Rural,11.2156785,0.3547752
Madhya Pradesh,Total,11.181014000000001,0.3599225
Madhya Pradesh,Urban,11.093156500000001,0.3739039
Maharashtra,Rural,9.3091732,0.3301314
Maharashtra,Total,9.2670556,0.3456267
Maharashtra,Urban,9.213627200000001,0.3652839
Manipur,Rural,10.754050399999999,0.4981898
Manipur,Total,10.7380782,0.5186945
Manipur,Urban,10.6759578,0.5971385
Meghalaya,Rural,8.584341099999998,0.3148755
Meghalaya,Total,8.5429878,0.3365427
Meghalaya,Urban,8.3021674,0.4631001
Mizoram,Rural,9.182640300000001,0.5776497
Mizoram,Total,9.1082735,0.5987703
Mizoram,Urban,8.4868293,0.7761208
Nagaland,Rural,10.283490500000001,0.5053566
Nagaland,Total,9.7789109,0.5346663
Nagaland,Urban,8.4736589,0.6104789
Odisha,Rural,9.672554400000001,0.6838915
Odisha,Total,9.608496800000001,0.7205332
Odisha,Urban,9.4222508,0.8868935
Puducherry,Rural,8.9028506,0.4076126
Puducherry,Total,9.0577422,0.4129904
Puducherry,Urban,10.2699712,0.4502555
Punjab,Rural,10.626445200000001,0.8272948
Punjab,Total,10.408891,0.8445073
Punjab,Urban,9.3469879,0.9458652
Rajasthan,Rural,10.0773974,0.9663053
Rajasthan,Total,10.0821763,0.995646
Rajasthan,Urban,10.1035959,1.117509
Sikkim,Rural,9.4241901,0.8800834
Sikkim,Total,8.915639500000001,0.8648465
Sikkim,Urban,8.039813500000001,0.8194877
Tamil Nadu,Rural,7.997482,0.829382
Tamil Nadu,Total,6.922483300000001,0.8916035
Tamil Nadu,Urban,6.9231682999999995,0.9839339
Telangana,Rural,7.7591783,1.085443
Telangana,Total,8.3474815,1.147632
Telangana,Urban,8.8915675,1.194229
Tripura,Rural,7.936234000000001,0.8633797
Tripura,Total,7.2419662,0.9003633
Tripura,Urban,7.115311199999999,0.9506372
Uttar Pradesh,Rural,8.2170605,0.8789041
Uttar Pradesh,Total,7.2816824,0.8997408
Uttar Pradesh,Urban,6.948085,0.9363751
Uttarakhand,Rural,8.956368600000001,0.8436711
Uttarakhand,Total,8.5279018,0.8559494
Uttarakhand,Urban,7.804825999999999,0.8821315
West Bengal,Rural,8.7334116,1.031262
West Bengal,Total,8.758421199999999,1.065634
West Bengal,Urban,8.7914812,1.092314
